﻿世茂东壹号(别墅),﻿玉山-城东-前进东路233号,﻿121.053740,﻿31.380466,﻿23118,﻿别墅,"﻿多层1.8元/平方米/月,高层2.1",﻿750000m²,﻿6300户,﻿2009年,﻿6300,﻿1.5,﻿40%(高),﻿昆山世茂新发展置业有限公司,﻿上海世茂物业服务有限公司,0,0
﻿花桥世纪城四季花园,﻿花桥-赛格电子城-花安路688号,﻿121.140659,﻿31.295264,﻿14793,﻿暂无数据,﻿1.70元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2015年,﻿暂无数据,﻿4.24,﻿31%(一般),﻿昆山沪昆投资建设管理有限公司,﻿暂无数据,5,9
﻿环湖佳苑c区,﻿巴城-石牌-石金路,﻿120.908388,﻿31.497520,﻿10919,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2006年,﻿暂无数据,﻿1.7,﻿45%(高),﻿昆山阳澄湖房地产开发 有限公司,﻿昆山名湖物业,1,25
﻿苏凯公寓,﻿玉山-城东-黄浦江中路1777号,﻿121.014092,﻿31.374901,﻿10522,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿中环广场,﻿花桥-赛格电子城-花安路169号,﻿121.148461,﻿31.289020,﻿11725,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿暂无数据,﻿4.8,﻿30%(一般),﻿江苏中大地产集团有限公司,﻿中环广场物业,18,50
﻿金色港湾(别墅),﻿玉山-城东-桃花江路181号,﻿120.987555,﻿31.387330,﻿31545,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,2,76
﻿商行新村,"﻿千灯-石浦-宏川路,近兴浦中路",﻿121.044895,﻿31.254693,﻿8454,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,0
﻿青阳宝岛花园二期(别墅),﻿玉山-城东-桃花江路,﻿120.992898,﻿31.388097,﻿42739,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,17
﻿浦园小区(172-173),﻿千灯-石浦-兴浦北路285号,﻿121.059750,﻿31.242017,﻿9493,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山市杭州湾置业有限公司,﻿昆山浦园湾物业管理有限公司,0,0
﻿阳光水世界(别墅),﻿玉山-城东-太湖南路33号,﻿121.042916,﻿31.376586,﻿23813,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,27
﻿鑫苑鑫都汇(商住楼),﻿花桥-赛格电子城-泗泾路99号,﻿121.145024,﻿31.297372,﻿12690,﻿暂无数据,﻿4.90元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山鑫苑置业有限公司,﻿暂无数据,1,9
﻿阿里巴巴电子大厦,﻿花桥-赛格电子城-花安路171号,﻿121.147068,﻿31.289009,﻿8342,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,9,49
﻿春阳易居,﻿周市-昆山商厦-春晖路,﻿120.951791,﻿31.402194,﻿11838,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿150户,﻿2007年,﻿暂无数据,﻿1.2,﻿35%(一般),﻿暂无数据,﻿无物业,0,1
﻿绿地21城E区别墅,﻿花桥-香榭丽大道-绿地大道圣心西环路6、9、16、17弄,﻿121.099330,﻿31.287390,﻿20443,﻿别墅,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿长丰新村,﻿陆家-陆家-陆家浜南路181号,﻿121.048477,﻿31.313119,﻿12918,﻿暂无数据,﻿0.30元/㎡/月,﻿36452m²,﻿400户,﻿2005年,﻿地上停车位,﻿1.2,﻿22%(一般),﻿昆山城建发展有限责任公司,﻿业主自管,2,9
﻿星海花园（别墅）,﻿玉山-城西-马鞍山东路287号,﻿118.341023,﻿31.716194,﻿33076,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿中城嘉景庭,﻿花桥-赛格电子城-昆山花桥镇漕浦路188号(胜巷路口),﻿121.137919,﻿31.302313,﻿13972,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿新都银座,﻿玉山-老城区-长江南路1233号,﻿120.980199,﻿31.366140,﻿17421,﻿暂无数据,﻿1.20元/㎡/月,﻿32000m²,﻿146户,﻿2007年,﻿地上150元/月,﻿3.8,﻿35%(一般),﻿昆山市新城发展建筑有限公司,﻿昆山新城物业管理有限公司,1,8
﻿爱知国际,﻿花桥-易买得-绿地大道与丹桥路交汇处,﻿121.125795,﻿31.285371,﻿13000,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿昆山开发区企业科技园人才公寓,﻿玉山-城东-南滨路,﻿121.007483,﻿31.392221,﻿13500,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿黄浦花园,﻿玉山-城东-黄浦江路与新浦路交汇处,﻿120.983880,﻿31.403246,﻿12376,﻿普通住宅,﻿暂无数据,﻿75000m²,﻿暂无数据,﻿2010年,﻿暂无数据,﻿暂无数据,﻿42%(高),﻿暂无数据,﻿暂无数据,0,0
﻿建材新村,﻿玉山-城东-昆塔路,﻿120.992159,﻿31.360366,﻿11612,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,0
﻿御翠湾(A区),﻿千灯-千灯古镇-新苑路,﻿120.958840,﻿31.330745,﻿12210,﻿暂无数据,﻿1.20元/㎡/月,﻿91725m²,﻿792户,﻿2015年,﻿556个（北区99辆，南区457辆,﻿1.2,﻿40%(高),﻿昆山市新颖房产有限公司,﻿昆山新颖房产有限公司,3,53
﻿河滨花园,﻿淀山湖-淀山湖-淀兴路,﻿121.037070,﻿31.180939,﻿12569,﻿暂无数据,﻿0.60元/㎡/月,﻿14954m²,﻿106户,﻿2007年,﻿106,﻿1.66,﻿30%(一般),﻿昆山吉祥置业有限公司,﻿金阳物业管理,0,1
﻿馨逸家园,﻿张浦-张浦-江浦南路,﻿120.925697,﻿31.249521,﻿11709,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2015年,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,21,65
﻿GOHO悦城,﻿花桥-易买得-云桥路359号,﻿121.123452,﻿31.293392,﻿13265,﻿暂无数据,﻿3.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿3.9,﻿35%(一般),﻿昆山广捷置业有限公司,﻿苏州苏房物业有限公司,0,1
﻿美陆佳园桂苑,﻿玉山-城北-恒盛路,﻿120.943777,﻿31.457593,﻿13192,﻿暂无数据,﻿1.60元/㎡/月,﻿65230m²,﻿2200户,﻿2006年,﻿880,﻿1.9,﻿36%(一般),﻿阳澄湖房产,﻿阳澄湖物业,8,52
﻿新城香溢紫郡(商住楼),"﻿玉山-城南-青淞路,近长江南路",﻿120.964185,﻿31.330985,﻿14906,﻿暂无数据,﻿2.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿2.2,﻿30%(一般),﻿昆山新城创宏房地产有限公司,﻿江苏新城物业管理有限公司,15,46
﻿鹏轩,﻿玉山-城南-小渡河路,﻿120.961742,﻿31.354625,﻿6265,﻿暂无数据,﻿1.55元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,2
﻿泰和家苑,﻿玉山-城西-前进西路,﻿120.907913,﻿31.381496,﻿21376,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿业主自营,0,0
﻿虹桥花园(别墅),﻿玉山-城西-马鞍山路231号,﻿120.938620,﻿31.384450,﻿28517,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,2,7
﻿风景英伦(别墅),﻿玉山-城西-萧林中路,﻿120.969069,﻿31.403011,﻿26316,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,11
﻿和风雅颂(别墅),﻿玉山-城西-博士路99,﻿120.909766,﻿31.401777,﻿28350,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.49,﻿41%(高),﻿昆山阳澄湖科技园有限公司,﻿昆山市天合物业管理有限公司,3,18
﻿星海花园南苑(别墅),﻿玉山-城西-前进西路1028号,﻿120.937877,﻿31.381649,﻿37986,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,1,8
﻿星海花园南苑(公寓),﻿玉山-城西-前进西路1028号,﻿120.937877,﻿31.381649,﻿23122,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿业主自营,23,103
﻿斜泾新村,﻿玉山-城西-萧林西路,﻿120.922935,﻿31.405896,﻿10789,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2002年,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿尚林花苑,﻿玉山-城西-金港路16号,﻿120.980737,﻿31.385598,﻿18243,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿常熟市滨江城市建设经营投资有限责任公司,﻿昆山尚林房地产开发有限公司,0,0
﻿听海雅苑,﻿玉山-城东-浏河镇听海路136号,﻿121.260251,﻿31.510076,﻿9375,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿天康雅居,﻿玉山-城东-浏河镇郑和北路97号,﻿121.261975,﻿31.503160,﻿7551,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿领峰国际,﻿花桥-易买得-玉桥路,﻿121.125795,﻿31.285371,﻿8455,﻿暂无数据,﻿3.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2014年,﻿暂无数据,﻿4.8,﻿20%(一般),﻿江苏省华东天工投资有限公司,﻿江苏福田物业管理有限公司,0,0
﻿浦江中心,﻿花桥-易买得-花桥徐公桥路中茵商务楼74-75号,﻿121.125375,﻿31.288187,﻿6292,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿新华花园,﻿玉山-城东-璜泾镇浮璜公路与蒋泾塘交汇处,﻿120.980737,﻿31.385598,﻿14942,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿东林佳苑,﻿玉山-城东-东林苑八路与东林苑九路交汇处,﻿120.980737,﻿31.385598,﻿6914,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿康乐小区,﻿玉山-城东-璜泾镇文昌街2号,﻿121.102409,﻿31.440932,﻿7446,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿锦溪花园大东厂园,﻿锦溪-锦溪-普庆路,﻿120.898666,﻿31.179642,﻿11995,﻿公寓,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2014年,﻿地面地下停车场,﻿1.52,﻿40%(高),﻿暂无数据,﻿小区自治,38,212
﻿瑞安御景苑,﻿玉山-城东-郑和大街与闸北路交汇处,﻿121.267767,﻿31.510986,﻿8255,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿天熙公寓,﻿玉山-城东-郑和大街北侧,﻿120.980737,﻿31.385598,﻿8063,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿花园一村,﻿玉山-城东-向阳路与郑和路交汇处,﻿120.980737,﻿31.385598,﻿13565,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿高成上海假日,﻿玉山-城东-浏河镇沪太路浏太路交汇处,﻿120.980737,﻿31.385598,﻿8735,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿石浦南苑,﻿千灯-石浦-千灯石浦镇中心,﻿121.053335,﻿31.254561,﻿9292,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿花都艺墅(别墅),﻿周市-卜蜂莲花-长江北路335号,﻿120.978487,﻿31.413349,﻿30400,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,12,116
﻿华纺易墅上海湾(别墅),﻿淀山湖-淀山湖-湖滨路117号,﻿120.995425,﻿31.189444,﻿18796,﻿暂无数据,﻿2.60元/㎡/月,﻿100000m²,﻿776户,﻿暂无数据,﻿1165,﻿1,﻿40%(高),﻿苏州华纺房地产有限公司,﻿安邦物业管理有限公司,5,351
﻿江南岸,﻿淀山湖-淀山湖-大观园吴江汾湖芦墟经济开发区临湖东路666号,﻿120.889748,﻿31.460460,﻿7600,﻿别墅,﻿3.8元/㎡/月,﻿暂无数据,﻿193户,﻿2012年,﻿自带室内车位1—2个，同时有公共车位,﻿0.29,﻿63%(高),﻿苏州铭基置业有限公司,﻿新加坡物管——狮城怡安物业管理有限公司,0,0
﻿老街新天地,﻿巴城-巴城-景城北路,﻿120.877103,﻿31.458057,﻿10000,﻿别墅,﻿0.60元/平方米·月,﻿4171m²,﻿40户,﻿2011年,﻿21,﻿1.17,﻿40%(高),﻿昆山翠城房地产有限公司,﻿江苏福田物业,0,0
﻿金鹰天地,﻿玉山-老城区-东新街与珠江路交界处,﻿120.974270,﻿31.376567,﻿25462,﻿暂无数据,﻿2.5元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿2.6,﻿35%(一般),﻿昆山金鹰天地置业有限公司,﻿昆山金鹰天地物业有限公司,0,0
﻿长泰淀湖观园(别墅),﻿锦溪-锦溪-锦耀路333号,﻿120.967101,﻿31.165589,﻿20530,﻿暂无数据,﻿4.20元/㎡/月,﻿暂无数据,﻿145户,﻿2013年,﻿150,﻿0.45,﻿50%(高),﻿昆山淀湖观园置业有限公司,﻿上海长宜物业有限公司,0,381
﻿双湖湾别墅,﻿巴城-阳澄湖-湖滨南路560号,﻿120.849354,﻿31.419472,﻿28850,﻿暂无数据,﻿0.00元/㎡/月,﻿1m²,﻿202户,﻿暂无数据,﻿416,﻿0.44,﻿45%(高),﻿昆山景发置业有限责任公司,﻿江苏苏明物业,0,89
﻿光明馨座,﻿花桥-易买得-商祥路699号,﻿121.113291,﻿31.295182,﻿22342,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2.8,﻿35%(一般),﻿宁沪置业（昆山）有限公司,﻿江苏同城时代物业管理有限公司,0,0
﻿中城花园玉兰苑,﻿花桥-赛格电子城-曹浦路,﻿121.136620,﻿31.291724,﻿12432,﻿暂无数据,﻿2.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿1.5,﻿40%(高),﻿昆山融信恺庭房地产开发有限公司,﻿嘉正物业,0,0
﻿华强苑,﻿千灯-石浦-振石路,﻿121.051180,﻿31.255908,﻿10207,﻿暂无数据,﻿0.50元/㎡/月,﻿390000m²,﻿985户,﻿2012年,﻿1:2,﻿2,﻿33%(一般),﻿华强房地产开发有限公司,﻿石浦社区,0,35
﻿中茵中央公馆,﻿千灯-千灯古镇-黄浦江路和严中路交叉口,﻿121.004080,﻿31.259160,﻿6896,﻿普通住宅,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿中城花园清竹苑,﻿花桥-赛格电子城-曹浦路,﻿121.136620,﻿31.291724,﻿16509,﻿暂无数据,﻿2.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山融信恺庭房地产开发有限公司,﻿嘉正物业,0,0
﻿君悦豪庭,﻿玉山-城东-沪宜公路和县府西街交汇处,﻿121.099266,﻿31.443665,﻿16166,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿马家地园,﻿玉山-城东-县府西街和长春南路交汇处,﻿126.040592,﻿44.373520,﻿9716,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿城市花园,﻿玉山-城东-县府东街12号,﻿120.980737,﻿31.385598,﻿11363,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿中央帝景,﻿玉山-城东-县府东街和东仓南路交汇处,﻿121.121713,﻿31.455467,﻿16273,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿盛发园,﻿玉山-城东-县府东街和扬州路交汇处,﻿121.124003,﻿31.456583,﻿14615,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿北门一村,﻿玉山-城东-县府西街和北门街交汇处,﻿121.103261,﻿31.446650,﻿10885,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿玉兰花园,﻿玉山-城东-桃园路与洛阳西路交汇处,﻿112.495525,﻿34.131366,﻿25079,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿阳光美地,﻿玉山-城东-通海路与东古路交汇处,﻿121.075479,﻿31.441918,﻿13216,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿北门都市会,﻿玉山-城北-北门路,﻿120.947726,﻿31.457579,﻿15789,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿武陵街小区,﻿玉山-城东-武陵街和长春弄交汇处,﻿121.106899,﻿31.443314,﻿8333,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿善景园,﻿千灯-千灯古镇-景塘路,﻿121.009168,﻿31.251309,﻿12609,﻿暂无数据,﻿0.55元/㎡/月,﻿264410m²,﻿700户,﻿2010年,﻿700,﻿1.45,﻿40%(高),﻿昆山舜鑫房地产开发商_x000D_,﻿江苏爱涛物业管理有限公司,55,323
﻿名湖家园,﻿陆家-陆家-昆山陆家新开河路,﻿121.053042,﻿31.314059,﻿11894,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿宫宵花园,﻿花桥-花桥老镇-花园路56号,﻿120.967050,﻿31.398170,﻿11764,﻿暂无数据,﻿0.60元/㎡/月,﻿46500m²,﻿860户,﻿2011年,﻿300,﻿3.2,﻿30%(一般),﻿江苏城市建设,﻿业主自管,0,2
﻿长顺滨江皇冠,"﻿玉山-城西-前进西路,近虹桥路",﻿120.934218,﻿31.380143,﻿26664,﻿暂无数据,﻿2.50元/㎡/月,﻿140000m²,﻿386户,﻿2014年,﻿660,﻿2.3,﻿40%(高),﻿昆山海帝房地产开发有限公司,﻿绿城物业服务集团有限公司,17,119
﻿绿地蓝湾,﻿花桥-香榭丽大道-香榭丽大道,﻿121.104353,﻿31.284895,﻿24444,﻿暂无数据,﻿2.80元/㎡/月,﻿10000m²,﻿38户,﻿2008年,﻿20,﻿0.42,﻿36%(一般),﻿上海绿地集团青浦置业有限公司,﻿上海绿地物业服务有限公司,0,0
﻿亿立广场,﻿玉山-城东-朝阳路与锦州路的交汇处,﻿120.709132,﻿31.714242,﻿10000,﻿普通住宅,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿白蚬湖新村,﻿周庄-周庄-大学路,﻿120.843731,﻿31.140660,﻿9019,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿喜湖别墅,﻿巴城-阳澄湖-湖滨路108号,﻿120.849754,﻿31.457892,﻿18411,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿永泰花苑,﻿玉山-老城区-车站路399号,﻿120.976171,﻿31.367893,﻿20215,﻿暂无数据,﻿1.80元/㎡/月,﻿34073m²,﻿231户,﻿2015年,﻿231,﻿3.49,﻿30%(一般),﻿昆山福记置业有限公司,﻿上海友航物业,7,66
﻿凤祥园,﻿巴城-石牌-长江北路1183号,﻿120.987994,﻿31.447521,﻿10630,﻿暂无数据,﻿1.00元/㎡/月,﻿380000m²,﻿3000户,﻿2014年,﻿暂无数据,﻿1.6,﻿35%(一般),﻿昆山阳澄湖房地产开发有限公司,﻿嘉烽物业,21,143
﻿台协大厦,﻿玉山-城东-前进路与太湖路交叉口处,﻿121.035365,﻿31.381305,﻿13888,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿东方国际广场(公寓),﻿玉山-城东-前进东路1239号,﻿120.993638,﻿31.383394,﻿18672,﻿暂无数据,﻿2.80元/㎡/月,﻿135235m²,﻿1084户,﻿2010年,﻿721,﻿3.89,﻿30%(一般),﻿昆山中源房地产开发有限公司,﻿香港中泰曼科维尔物业有限公司,89,150
﻿天下一家,﻿玉山-城北-水秀路245号,﻿120.943855,﻿31.396227,﻿20122,﻿暂无数据,﻿0.00元/㎡/月,﻿13000m²,﻿暂无数据,﻿2005年,﻿暂无数据,﻿0.8,﻿40%(高),﻿苏州江南房产开发有限公司_x000D_,﻿上海新湖绿城物业服务有限公司,0,0
﻿三水萧林,﻿玉山-城西-虹祺路1611号,﻿120.921038,﻿31.407587,﻿22761,﻿暂无数据,﻿1.80元/㎡/月,﻿350000m²,﻿2122户,﻿暂无数据,﻿2455,﻿1.8,﻿40%(高),﻿昆山华昌房地产开发有限公司,﻿昆山金侨物业,104,554
